"Time (s) Solenoide,""Position (m) Solenoide"",""Magnetic Field Strength (1X) (T) Solenoide"""
27.900,0.6921,3E-6
27.950,0.6928,
28.000,0.6934,3E-6
28.050,0.6941,
28.100,0.6947,2E-6
28.150,0.6953,
28.200,0.6959,2E-6
28.250,0.6965,
28.300,0.6971,2E-6
28.350,0.6976,
28.400,0.6980,2E-6
28.450,0.6983,
28.500,0.6986,2E-6
28.550,0.6988,
28.600,0.6988,3E-6
28.650,0.6988,
28.700,0.6988,4E-6
28.750,0.6988,
28.800,0.6987,2E-6
28.850,0.6986,
28.900,0.6984,2E-6
28.950,0.6987,
29.000,0.6992,4E-6
29.050,0.6991,
29.100,0.6991,2E-6
29.150,0.6991,
29.200,0.6992,2E-6
29.250,0.6992,
29.300,0.6991,2E-6
29.350,0.6991,
29.400,0.6991,5E-7
29.450,0.6991,
29.500,0.6991,3E-6
29.550,0.6991,
29.600,0.6991,5E-7
29.650,0.6991,
29.700,0.6991,7E-7
29.750,0.6991,
29.800,0.6991,2E-6
29.850,0.6991,
29.900,0.6991,1E-6
29.950,0.6991,
30.000,0.6991,8E-7
30.050,0.6991,
30.100,0.6991,2E-6
30.150,0.6991,
30.200,0.6991,1E-6
30.250,0.6991,
30.300,0.6991,3E-6
30.350,0.6991,
30.400,0.6991,
